title,rooms,size_m2,monthly_rent
RÆKKEHUS MED FORHAVE OG BAGHAVE ,5.0,120.0,12800.0
Delevenlig 4. værelses lejlighed ,4.0,113.0,7614.0
"2 vær. - Centralt beliggende på Sønder Alle, Aarhus C",2.0,53.0,8000.0
ENESTÅENDE 3-VÆRELSES MIDT I AARHUS C,3.0,70.0,11795.0
FANTASTISK FLOT 1-VÆRELSES MED CENTRAL BELLIGENHED,1.0,43.0,7500.0
RUMMELIG LEJLIGHED I TILST,2.0,48.0,6845.0
4 værelses rækkehus på Vistihøjen i Aarhus N udlejes,4.0,90.0,10995.0
Eftertragtet rækkehus tæt på Aarhus med egen have,3.0,57.0,9195.0
Renoveret 2'er i rolig baggård helt centralt i Aarhus C.,2.0,74.0,9950.0
3 værelses lejlighed på Engsøvej i Risskov udlejes,3.0,65.0,8295.0
2 værelses lejlighed på Borresøvej i Risskov udlejes,2.0,58.0,7895.0
2 værelses lejlighed på Kappelvænget i Aarhus V udlejes,2.0,53.0,6195.0
2 værelses lejlighed på Kappelvænget i Aarhus V udlejes,2.0,53.0,6195.0
3 værelses lejlighed på Arresøvej i Risskov udlejes,3.0,86.0,10695.0
Hyggelig kælderlejlighed på Langenæs,2.0,52.0,6500.0
2 værelses lejlighed på Møllevangen i Tranbjerg J udlejes,2.0,47.0,6125.0
4 værelses rækkehus på Bøgeskovparken i Viby J udlejes,4.0,100.0,10995.0
4 værelses rækkehus på Rødlundvej i Harlev J udlejes,4.0,90.0,9495.0
Pendlerbolig,1.0,16.0,4000.0
Boligen til den studerende eller singlen,1.0,43.0,5995.0
"Lækker 2-værelses med stor altan, nær UNI",1.0,55.0,7547.0
"2-værelses i Centrum af Århus, tæt på UNI og BSS",2.0,67.0,7500.0
FLYT IND MED DET SAMME OG FÅ GRATIS KØKKENKIT!,2.0,42.0,12700.0
1-VÆRELSES NÆR AARHUS C ,1.0,34.0,6795.0
DEJLIG 2'ER I AARHUS,2.0,53.0,9195.0
FURNISHED APARTMENT WITH FANTASTIC COMMUNAL FACILITIES - CONTACT US NOW FOR A VIEWING ,1.0,31.0,6995.0
3 værelses lejlighed på Vintervej i Aarhus udlejes,3.0,78.0,8995.0
MØBLERET 1 VÆRELSES BOLIG MED DE FEDESTE FÆLLES FACILITETER,1.0,29.0,6400.0
1 værelses kælderlejlighed,1.0,29.0,4800.0
"EGEN ALTAN, VASKEMASKINE OG TØRRETUMBLER, 3-D VISNING",1.0,34.0,6795.0
CENTRALT PLACERET 1'ER I AARHUS,1.0,34.0,6795.0
2-værelses med nærhed til midtby og natur (IKKE delevenlig),2.0,57.0,7400.0
Skønt 4-vær. rækkehus med egen have i nyopført ejendom i Hasselager.,4.0,100.0,11200.0
Værelse på 16m2,1.0,16.0,4000.0
"Enkel, moderne og lige til at flytte ind i – kun få tilbage i archouse",1.0,29.0,5995.0
"KUN FÅ TILBAGE: MØBLERET 1-VÆRELSES MED BUNKBED, HØJT TIL LOFTET OG EGEN TERRASSE ",1.0,30.0,5600.0
"Lyst møbleret hus, egen have & parkering, 5 min fra centrum",3.0,120.0,13000.0
